,A-028,A-027,A-029,A-026,A-030,A-025,A-031,A-024,A-032,A-023,A-034,A-022,A-033,A-021,A-036,A-020,A-035,A-019,A-038,A-018,A-037,D-052,A-040,D-050,A-039,D-048,A-042,A-016,A-041,A-017,A-044,A-014,A-043,A-015,A-063,A-013,A-061,A-012,A-062,A-011,A-059,A-010,A-060,A-009,A-057,A-008,A-058,A-007,A-055,A-000,A-056,A-002,A-053,A-004,A-054,A-006,A-051,A-005,A-052,A-003,A-049,A-001,A-050,D-047,B-056,B-055,B-020,B-019,B-021,B-018,B-022,B-017,B-023,B-016,B-024,B-015,B-053,B-058,B-054,B-057,B-025,B-014,B-026,B-013,B-027,B-012,B-028,B-011,B-029,B-010,B-051,B-060,B-052,B-059,B-030,B-009,B-031,B-008,B-032,B-007,B-034,B-006,B-033,B-005,B-049,B-062,B-050,B-061,B-036,B-002,B-038,B-004,B-040,B-003,B-042,B-001,B-044,B-000,B-046,B-063,B-048,A-047,B-035,A-045,B-037,A-048,B-039,A-046,D-020,D-021,D-019,D-022,D-018,D-023,D-017,D-024,D-016,D-025,D-015,D-026,C-047,D-027,C-048,D-028,C-045,D-029,C-046,D-030,C-043,D-031,C-044,D-032,C-041,D-034,C-042,D-033,C-039,D-036,C-040,D-035,C-037,D-038,C-038,D-037,C-035,D-040,C-036,D-039,C-033,D-042,C-034,D-041,C-032,D-044,C-031,D-043,C-030,D-045,C-029,D-057,C-028,D-056,C-026,D-054,C-024,B-047,C-022,B-045,C-020,B-043,C-018,B-041,C-056,D-007,C-055,D-008,C-008,D-053,C-007,C-009,D-055,C-010,D-006,C-053,D-005,C-054,C-058,D-009,C-057,D-010,C-006,D-051,C-005,C-011,D-058,C-012,D-004,C-051,D-003,C-052,C-060,D-011,C-059,D-012,C-004,D-049,C-003,C-013,D-059,C-014,D-060,C-049,D-001,C-050,C-062,D-013,C-061,D-014,C-002,D-046,C-001,C-015,D-002,C-017,D-061,C-019,D-062,C-021,D-063,C-023,D-000,C-025,C-063,C-027,C-000,C-016
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
0,-48,-10,-49,-41,-25,-50,-5,-50,-44,-10,-62,-51,-61,-51,-41,-52,-62,-46,-60,-53,-61,-52,-60,-53,-60,-55,-59,-53,-59,-54,-58,-56,-59,-43,-46,-57,-48,-10,-39,-57,-49,-58,-48,-59,-49,-59,-49,-60,-50,-62,-50,-63,-52,-62,-51,-58,-53,-61,-49,-61,-51,-63,-52,-54,-52,-54,-55,-56,-55,-56,-54,-54,-52,-60,-52,-55,-54,-48,-53,-48,-51,-58,-47,-59,-52,-58,-51,-60,-50,-56,-52,-50,-56,-51,-50,-62,-51,-63,-55,-63,-66,-57,-65,-64,-59,-50,-58,-39,-53,-69,-65,-65,-67,-65,-66,-66,-62,-71,-60,-51,-59,-67,-67,-61,-67,-57,-60,-54,-54,-58,-58,-54,-52,-55,-44,-39,-64,-52,-59,-47,-60,-39,-58,-52,-60,-52,-59,-51,-58,-51,-60,-71,-62,-53,-61,-65,-63,-84,-62,-65,-64,-64,-63,-64,-64,-62,-45,-63,-66,-50,-66,-62,-71,-60,-51,-61,-51,-61,-47,-51,-51,-58,-50,-57,-52,-65,-54,-63,-58,-59,-57,-59,-50,-59,-50,-60,-60,-48,-61,-60,-47,-49,-61,-39,-61,-52,-50,-58,-49,-58,-61,-53,-62,-58,-49,-47,-58,-54,-61,-53,-48,-59,-49,-58,-62,-52,-62,-58,-49,-57,-47,-51,-61,-55,-47,-57,-48,-57,-66,-57,-63,-57,-65,-57,-47,-55,-47,-53,-46,-54,-62,-51,-46,-54,-67,-56
11,-36,-2,-3,-16,-17,-6,0,-6,-16,-7,-17,-49,-18,-12,-14,-5,-17,0,-11,-1,-19,-6,-17,-5,-14,-10,-15,-8,-21,0,-18,-6,-17,-26,-2,-11,-9,-12,0,-8,-18,-7,3,-15,-13,-8,-7,-12,-8,-35,-5,-58,-2,-9,0,-24,-7,-58,-9,-29,-46,-31,-42,-49,-51,-5,-12,-6,-3,-7,1,-11,-6,-22,1,-15,-4,-8,-6,-8,-9,-23,-14,-11,-2,-9,-10,-16,-5,-22,-7,-5,-15,-1,-4,-11,4,-9,-11,-12,-18,-9,-18,-11,-14,2,-9,0,-17,-13,-21,-16,-43,-28,-22,-32,-20,-48,-24,-27,-15,-25,-41,-28,-31,-21,-14,-18,-61,-10,-3,-26,-7,-2,-5,-3,-23,-3,-28,-5,-8,-6,-8,-15,-13,1,-7,-1,-11,1,-13,-15,-9,-74,-8,-76,-11,-70,-9,-51,-13,-31,-13,-13,-13,-12,-29,-43,-12,-8,-13,-33,-28,-44,2,-6,-2,-31,4,-33,-41,-16,-2,-27,2,-24,-21,-22,-18,-20,-15,-19,2,-13,-1,-22,-5,-11,-15,-15,-4,-12,-10,-5,-11,1,-1,-10,-3,-18,-14,-11,-13,-11,-9,-15,-13,-6,-30,-7,0,-9,-5,-16,-21,-12,-12,-10,-9,-7,-10,-13,-9,-6,3,-7,0,-7,-11,-8,-14,-6,-14,-6,-7,-38,1,-2,1,-8,-59,0,-1,-10,-29,-52
13,-36,-5,-12,-15,-18,0,3,-6,-15,-8,-17,-55,-17,-5,-16,-5,-17,0,-12,-1,-18,-5,-12,-3,-15,-10,-15,-7,-20,-2,-19,-6,-17,-33,-2,-12,-9,-10,0,-6,1,-7,-1,-17,-14,-8,-8,-26,-10,-15,-6,-79,-3,-17,-5,-22,-11,-58,-33,-38,-47,-55,-39,-49,-59,-7,-10,-7,-2,-7,0,-12,-5,-26,0,-16,-5,-8,-7,-8,-14,-24,-14,-12,-2,-10,-10,-15,-5,-22,-7,-5,-11,-1,-4,-13,5,-11,-11,-13,-19,-9,-20,-12,-13,2,-11,-1,-20,-14,-21,-24,-38,-23,-14,-41,-19,-49,-19,-16,-16,-27,-50,-25,-23,-20,-14,-19,-63,-17,-4,-2,-39,-16,-18,-16,-3,-12,-27,-4,-7,-11,-7,-3,-51,0,-14,0,-25,-8,-24,-23,-10,-74,-10,-67,-13,-70,-8,-56,-13,-10,-10,-21,-12,-7,-12,-22,-11,-32,-21,-41,-12,-37,5,-5,6,-59,4,-16,-45,-1,-23,-24,-33,-34,-35,-17,-24,-17,-14,-14,1,-13,-1,-18,-8,-11,-15,-13,-8,-11,-11,-7,-11,-5,-2,-10,-4,-16,-14,-12,-14,-12,-5,-15,-12,-7,-30,-7,1,-7,-5,-16,-21,-12,-12,-10,-10,-6,-1,-8,-10,-7,3,-8,-2,-6,-11,-8,-13,-8,-15,-6,-5,-53,0,-1,0,-3,-61,-2,-2,-17,-29,-63
14,-40,-7,-37,-16,-16,-2,1,-6,-16,-9,-18,-47,-17,-7,-16,-6,-20,0,-12,-2,-18,-3,-12,-4,-14,-10,-16,-8,-20,-1,-20,-6,-17,-63,-2,-14,-9,-13,0,-6,-1,-8,-4,-20,-14,-8,-10,-28,-11,-12,-6,-74,-4,-9,-5,-39,-12,-34,-29,-54,-49,-27,-42,-53,-59,-6,-12,-7,-4,-6,-2,-15,-6,-26,-1,-16,-6,-8,-7,-9,-14,-25,-14,-12,-3,-9,-10,-15,-4,-23,-8,-6,-11,-1,-5,-13,5,-12,-12,-14,-20,-10,-19,-12,-11,1,-11,-2,-20,-14,-23,-26,-45,-37,-13,-41,-20,-26,-20,-6,-15,-19,-25,-30,-23,-22,-16,-20,-57,-23,-13,-2,-8,-6,-12,-26,-31,-9,-11,-7,-8,-4,-7,-24,-31,0,-8,3,-33,2,-15,-13,-17,-70,-13,-67,-17,-66,-8,-53,-14,-12,-10,-9,-15,-9,-28,-13,-23,-48,-35,-35,-13,-21,6,-21,5,-4,4,-22,-42,-47,-17,-21,-35,-26,-19,-14,-23,-15,-9,-15,0,-12,0,-21,-5,-11,-15,-9,-9,-12,-11,-6,-11,-3,-2,-10,-1,-16,-14,-13,-14,-12,-4,-15,-13,-6,-30,-7,1,-9,-4,-15,-22,-13,-12,-11,-10,-7,0,-6,-11,-6,2,-8,-1,-7,-11,-9,-14,-9,-11,-6,-2,-45,3,-2,0,-3,-59,-2,-2,-10,-28,-61
18,-54,-12,-48,-18,-20,3,3,-6,-16,-9,-18,-45,-17,-4,-16,-6,-19,-1,-12,-1,-17,-3,-10,-2,-16,-11,-23,-6,-17,-6,-25,-9,-21,-63,0,-13,-4,-10,-1,-49,-15,-8,-6,-29,-16,-8,-10,-38,-11,-45,-7,-60,-4,-18,-6,-25,-11,-49,-27,-58,-49,-51,-43,-48,-59,-5,-12,-8,-3,-7,-1,-11,-7,-24,-2,-17,-6,-9,-5,-10,-14,-24,-14,-12,-2,-10,-10,-14,-5,-23,-8,-6,-15,-1,-4,-15,5,-15,-13,-15,-19,-14,-20,-16,-11,-2,-9,-5,-20,-21,-19,-21,-11,-33,-11,-34,-21,-48,-45,-35,-37,-34,-23,-28,-20,-23,-18,-21,-59,-5,-33,-52,-46,-28,-12,-20,-13,-24,-40,-20,-18,-25,-9,-21,-38,-3,-20,-9,-38,-1,-16,-41,-57,-67,-13,-67,-28,-56,-31,-35,-36,-36,-56,-44,-53,-55,-17,-36,-63,-40,-33,-43,-16,-28,2,-43,6,-5,2,0,-45,-46,-3,-53,-41,-12,-32,-32,-32,-23,-19,-12,1,-13,-2,-15,-14,-9,-16,-16,-9,-12,-11,-6,-11,-5,-2,-13,-2,-16,-15,-14,-14,-13,-5,-16,-13,-8,-29,-6,0,-8,-4,-13,-20,-14,-12,-12,-8,-8,-2,-4,-10,-6,0,-10,0,-12,-11,-18,-13,-10,-11,-6,0,-40,3,-2,1,-3,-62,-4,-5,-21,-34,-53
20,-54,-13,-47,-18,-16,0,2,-6,-14,-7,-18,-45,-17,-3,-17,-5,-18,1,-12,-1,-16,-3,-8,-4,-16,-11,-26,-7,-17,-2,-22,-6,-19,-62,-1,-14,-2,-6,-2,-47,-1,-8,-11,-14,-15,-10,-8,-35,-11,-47,-7,-62,-4,-58,-6,-55,-10,-57,-39,-45,-42,-62,-42,-48,-59,-4,-11,-8,-3,-6,0,-10,-4,-26,-3,-15,-7,-7,-7,-8,-12,-23,-14,-13,-2,-10,-10,-16,-6,-22,-8,-5,-15,-1,-5,-16,5,-16,-12,-15,-19,-15,-23,-16,-12,-6,-9,-5,-21,-23,-19,-25,-46,-45,-15,-46,-28,-45,-51,-30,-35,-35,-29,-27,-19,-41,-19,-22,-60,-31,-16,-11,-10,-30,-24,-6,-18,-3,-51,-27,-11,5,-8,-21,-31,-1,-34,-1,-8,-1,-5,-29,-13,-70,-12,-77,-24,-71,-51,-56,-40,-49,-56,-16,-54,-38,-58,-43,-56,-58,-52,-16,-39,-34,3,-35,-8,-53,2,-16,-37,-61,2,-25,-42,-27,-54,-23,-29,-29,-14,-17,1,-14,0,-12,-8,-12,-17,-15,-9,-12,-11,-5,-12,-4,-3,-13,-2,-15,-17,-14,-14,-13,-7,-17,-14,-7,-29,-7,0,-9,-5,-16,-23,-13,-12,-12,-8,-8,-8,-7,-11,-10,3,-15,5,-13,-9,-15,-10,-9,-11,-7,-1,-37,1,-2,-1,-6,-63,-12,-7,-16,-39,-50
25,-55,-15,-31,-19,-19,0,2,-6,-16,-8,-19,-46,-18,-1,-14,-6,-15,1,-12,-1,-17,-3,-10,-3,-17,-11,-19,-5,-15,0,-14,-4,-10,-64,1,-15,-2,-23,1,-39,-36,-24,-12,-23,-15,-10,-9,-49,-13,-44,-9,-61,-5,-43,-6,-53,-14,-52,-48,-54,-16,-41,-30,-48,-60,-4,-5,-8,-4,-6,-1,-8,-5,-17,-4,-15,-8,-7,-6,-7,-12,-20,-13,-13,-1,-11,-10,-14,-5,-19,-8,-4,-10,-1,-3,-18,5,-17,-12,-14,-19,-17,-18,-18,-10,-9,-9,-5,-37,-31,-53,-41,-50,-45,-13,-51,-22,-54,-50,-35,-42,-47,-28,-28,-20,-33,-16,-13,-55,-38,-27,-40,-20,-13,-7,-1,-10,-19,-36,-31,-15,-29,-8,-36,-36,-1,-16,-33,-31,-3,-11,-12,-35,-72,-29,-71,-51,-69,-45,-50,-46,-48,-57,-24,-46,-46,-38,-57,-33,-27,-48,-18,-11,-9,5,-10,-19,-5,3,-21,-40,-61,2,-51,-25,-11,-48,-10,-45,-44,-33,-22,3,-11,1,-9,-6,-9,-17,-10,-9,-13,-10,-6,-10,-4,-1,-13,-2,-14,-16,-12,-14,-13,-6,-17,-11,-6,-29,-5,1,-9,-5,-14,-21,-15,-12,-14,-7,-8,-2,-6,-11,-7,5,-9,-1,-11,-13,-19,-13,-11,-14,-7,0,-35,2,-1,0,0,-64,-20,-8,-7,-29,-49
27,-50,-12,-11,-16,-19,-6,0,-8,-17,-8,-19,-56,-18,-1,-14,-4,-15,-1,-15,-1,-18,-4,-10,-3,-19,-14,-21,-8,-15,-4,-14,-4,-11,-61,-1,-17,-3,-55,1,-49,-53,-49,-11,-29,-15,-9,-9,-47,-12,-15,-10,-81,-4,-54,-8,-56,-12,-55,-50,-59,-15,-51,-30,-52,-59,-6,-10,-9,-5,-8,-1,-12,-7,-10,-5,-12,-9,-5,-7,-5,-12,-13,-13,-14,-4,-11,-10,-15,-5,-19,-9,-5,-11,-2,-4,-18,3,-17,-13,-15,-18,-18,-18,-17,-11,-6,-10,-5,-17,-32,-58,-54,-51,-53,-13,-52,-45,-47,-50,-27,-42,-37,-28,-43,-19,-22,-15,-16,-62,-5,-2,-44,-19,-21,-24,-10,-11,-19,-45,-12,-19,-39,-9,-22,-43,2,-17,-10,-21,2,-22,-18,-61,-64,-58,-74,-48,-69,-57,-55,-17,-25,-63,-50,-43,-48,-38,-62,-58,-60,-17,-14,-11,-40,3,-16,1,-5,3,-24,-48,-58,-32,-58,-42,-18,-54,-29,-16,-38,-45,-46,1,-10,-1,-14,-7,-12,-17,-15,-9,-13,-11,-6,-12,-1,-1,-14,0,-12,-15,-13,-14,-13,-4,-17,-13,-8,-29,-5,1,-8,-5,-16,-21,-15,-14,-15,-8,-9,0,-5,-11,-7,3,-9,-3,-10,-12,-19,-16,-10,-13,-6,0,-44,3,-2,5,-3,-61,-7,-6,-5,-25,-59
33,-51,-13,-11,-18,-21,-5,2,-7,-19,-8,-18,-50,-18,-4,-15,-5,-17,-1,-12,-2,-18,-4,-9,-5,-16,-11,-21,-7,-11,-2,-10,-4,-9,-64,-1,-16,-4,-19,2,-7,0,-9,-11,-53,-16,-8,-9,-42,-12,-48,-11,-63,-11,-17,-11,-31,-33,-41,-19,-51,-46,-46,-33,-50,-60,-4,-6,-9,-4,-7,-1,-10,-6,-17,-6,-12,-9,-5,-8,-5,-13,-12,-13,-13,-2,-11,-10,-13,-5,-18,-8,-5,-10,-3,-4,-19,3,-19,-12,-15,-19,-20,-18,-19,-11,-4,-11,-9,-58,-40,-56,-53,-40,-52,-26,-54,-17,-55,-22,-32,-30,-48,-30,-26,-26,-31,-19,-15,-52,-15,-45,-45,-24,-30,-10,-20,-18,-23,-42,-14,-18,-34,-6,-30,-33,1,-39,-24,-25,-13,-13,-59,-12,-73,-45,-64,-54,-64,-49,-30,-39,-36,-8,-47,-12,-53,-46,-55,-50,-50,-40,-17,-14,-55,-8,-40,-6,-38,0,-43,-40,-32,-29,-40,-19,-41,-44,-32,-49,-35,-39,-33,0,-11,-1,-13,-7,-12,-15,-9,-9,-12,-11,-1,-10,-1,-1,-14,-2,-11,-14,-10,-14,-13,-4,-17,-13,-7,-29,-5,1,-10,-6,-12,-23,-14,-14,-15,-7,-8,0,-2,-12,-6,5,-9,-2,-9,-12,-19,-27,-10,-13,-3,2,-43,5,1,6,0,-60,-2,-6,-3,-25,-56
